#Singles
#Ion,m/z,LSH,RHS,BLHS,BRHS
H+,C2Cl+ (35),1,59,4020,1238,4019,1277,-1,TRUE,FALSE
H+,C2ClH+ (35),1,60,4053,1241,4046,1276,-1,TRUE,FALSE
H+,C2Cl+ (37),1,61,4083,1240,4071,1275,-1,TRUE,FALSE
H+,C2ClH+ (37),1,62,4098,1247,4098,1273,-1,TRUE,FALSE
H+,C2Cl2+ (35),1,94,4850,1241,4848,1276,-1,TRUE,FALSE
H+,C2Cl2H+ (35),1,95,4873,1244,4874,1273,-1.2,TRUE,FALSE
H+,"C2Cl2+ (35, 37)",1,96,4892,1248,4891,1278,-1.2,TRUE,FALSE
H+,"C2Cl2H+ (35,37)",1,97,4918,1249,4908,1277,-1,TRUE,FALSE
H+,C2Cl2+ (37),1,98,4937,1246,4936,1275,-1.2,TRUE,FALSE
H+,C2Cl2H+ (37),1,99,4961,1247,4964,1276,-1.2,TRUE,FALSE
H+,H+,1,1,1272,1235,1312,1282,-1,TRUE,TRUE
C+,C+,12,12,2280,2243,2305,2281,-1,TRUE,TRUE
CH+,C+,13,12,2341,2247,2336,2310,-1,TRUE,TRUE
CH2+ / N+,CH2+ / N+,14,14,2428,2342,2395,2406,-1,TRUE,TRUE
Cl+ (35),Cl+ (35),35,35,3310,3235,3301,3304,-1,TRUE,TRUE
Cl+ (35),Cl+ (37),35,37,3377,3243,3329,3359,-1,TRUE,TRUE
CCl+ (35),CCl+ (35),47,47,3701,3635,3689,3686,-1,TRUE,TRUE
CClH+ (35),CCl+ (35),48,47,3733,3638,3699,3705,-1,TRUE,TRUE
,,48-50,48-46,3767,3637,3728,3707,-1,TRUE,TRUE
,,49-50,48-47,3772,3662,3746,3716,-1,TRUE,TRUE
,,49-51,49-47,3793,3668,3760,3736,-1,TRUE,TRUE
CClH+ (37),CCl+ (37),50,49,3779,3717,3775,3750,-1,TRUE,TRUE
,,50-51,50-49,3801,3723,3785,3764,-1,TRUE,TRUE
CH2+,Cl+ (35),14,35,3310,2373,3267,2423,-0.55,TRUE,TRUE
,,,,,,,,,,,,,,
#Triples
#Frag. 1,Frag. 2,Frag. 3,m/z(1),m/z(2),m/z(3),t1,t2,x1,y1,x2,y2,Box Gradient,Box shape,DTC
H+,Cl+ 35,CCCl+ (35) / CCClH+ (35),1,35,59-60,1229,1282,4079,3236,4022,3341,-0.5,TRUE,FALSE
H+,Cl+ (35),CCl+ (35),1,35,47,1229,1282,3699,3248,3667,3333,-1,TRUE,FALSE
H+,Cl+ (37),CCl+ (35),1,37,47,1229,1282,3674,3342,3672,3393,-1,TRUE,FALSE
H+,Cl+ (35),CCl+ (37),1,35,49,1229,1282,3737,3268,3744,3308,-1,TRUE,FALSE
H+,Cl+ (35 or 37),CCH+ / CC+,1,35-37,25-24,1229,1282,3364,2857,3285,2937,-0.5,TRUE,FALSE
H+,C+,CCl+ (35 or 37) + CClH (35),1,12,47-49,1229,1282,3705,2241,3686,2352,-0.5,TRUE,FALSE
H+,H+,C2Cl2 (37),1,1,98,1229,1282,4918,1229,4982,1383,-10,TRUE,FALSE
H+,H+,"C2Cl2 (35 or 35,37)",1,1,94-96,1229,1282,4830,1229,4892,1383,-10,TRUE,FALSE
H+,H+,C2Cl+ (35),1,1,59,1229,1282,4000,1250,4036,1332,-7,TRUE,FALSE
H+,H+,C2Cl+ (37),1,1,61,1229,1282,4052,1236,4079,1335,-7,TRUE,FALSE
H+,H+,CCl+ (35),1,1,47,1229,1282,3650,1201,3693,1356,-7,TRUE,FALSE
H+,H+,CCl+ (37),1,1,49,1229,1282,3732,1206,3752,1351,-7,TRUE,FALSE
H+,H+,Cl+ (35),1,1,35,1229,1282,3260,1207,3321,1370,-7,TRUE,FALSE
H+,H+,Cl+ (37),1,1,37,1229,1282,3343,1208,3407,1363,-7,TRUE,FALSE
H+,H+,C2+,1,1,24,1229,1282,2856,1224,2889,1356,-7,TRUE,FALSE
H+,H+,C+,1,1,12,1229,1282,2251,1233,2306,1337,-7,TRUE,FALSE
C+,C+,Cl+ (35),12,12,35,2247,2308,3265,2235,3331,2285,-7,TRUE,FALSE
C+,C+,Cl+ (37),12,12,37,2247,2308,3347,2239,3411,2279,-7,TRUE,FALSE
C+,H+,C+,12,1,12,2247,2308,2225,1178,2276,1294,-7,TRUE,FALSE
C+,H+,CH+,12,1,13,2247,2308,2303,1181,2374,1306,-7,TRUE,FALSE
CH+,C+,Cl+ (35),13,12,35,2310,2362,3250,2247,3326,2333,-7,TRUE,FALSE
CH+,C+,Cl+ (37),13,12,37,2310,2362,3345,2247,3400,2328,-7,TRUE,FALSE
Cl+ (35 or 37),C2H2+,Cl+ (35 or 37),35-37,26,35-37,3246,3404,3227,2934,3365,2990,-7,TRUE,FALSE
Cl+ (35 or 37),C2H+,Cl+ (35 or 37),35-37,25,35-37,3246,3404,3223,2899,3362,2933,-7,TRUE,FALSE
Cl+ (35 or 37),C2+,Cl+ (35 or 37),35-37,24,35-37,3246,3404,3234,2831,3365,2898,-7,TRUE,FALSE
Cl+ (35 or 37),CH+,Cl+ (35 or 37),35-37,13,35-37,3246,3404,3215,2317,3378,2394,-7,TRUE,FALSE
Cl+ (35 or 37),C+,Cl+ (35 or 37),35-37,12,35-37,3246,3404,3235,2228,3368,2316,-7,TRUE,FALSE
Cl+ (35 or 37),H+,Cl+ (35 or 37),35-37,1,35-37,3246,3404,3245,1169,3370,1319,-7,TRUE,FALSE
CH2+,Cl+(35),CCl+(35),14,35,47,2362,2427,3691,3236,3657,3343,-1,TRUE,FALSE
CH2+,Cl+(35),CClH2+(35) / CCl+(37),14,35,49,2362,2427,3767,3235,3708,3343,-1,TRUE,FALSE
CH+,Cl+(35),CCl+(35),13,35,47,2310,2362,3699,3230,3662,3350,-1,TRUE,FALSE
CH+,Cl+(35),CClH2+(35) / CCl+(37),13,35,49,2310,2362,3783,3230,3730,3346,-1,TRUE,FALSE
CCl+(35),H+,CClH+(35),47,1,48-49,3641,3695,3687,1218,3746,1288,-7,TRUE,FALSE
,,,,,,,,,,,,,,
#Shift Correction
#Energy,t1_cal,t2_cal
Ref,1260,4977
200eV,1260,4977
175eV,1260,4979
150eV,1262,4979
125eV,1260,4978
100eV,1260,4979
75eV,1259,4977
50eV,1257,4974
45eV,1257,4974
40eV,1258,4975
35eV,1257,4974
30eV,1256,4974
